,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
58,sh000063,上证周期,2905.4793,-6.253,-0.215,2911.7324,2904.4987,2918.1496,2896.1041,40844585,41220055776
59,sh000064,非周期,3512.4221,-16.125,-0.457,3528.5475,3516.989,3533.1848,3501.8666,57369214,116481278302
60,sh000065,上证龙头,3438.5645,-16.618,-0.481,3455.1823,3450.5528,3461.1314,3430.3021,71833126,113003082889
61,sh000066,上证商品,2688.7669,-12.213,-0.452,2700.98,2699.7075,2719.4469,2682.4993,28361097,30296523786
62,sh000067,上证新兴,7648.6559,-104.249,-1.345,7752.905,7733.9054,7749.9257,7644.8165,16399944,60641671502
63,sh000068,上证资源,2807.9409,-13.035,-0.462,2820.9763,2819.8104,2849.2657,2800.7151,31634382,31533480801
64,sh000069,消费80,5800.2807,55.019,0.958,5745.2619,5738.4472,5803.7899,5709.6105,8739709,40188782512
65,sh000070,能源等权,2830.1792,13.745,0.488,2816.4346,2821.1351,2865.0693,2816.961,21259795,15276566821
66,sh000071,材料等权,3436.9299,-26.264,-0.758,3463.1941,3459.5156,3467.0768,3428.6717,17679363,22559295680
67,sh000072,工业等权,3276.2973,-4.803,-0.146,3281.1,3279.55,3288.9454,3264.9213,30546745,30140439923
68,sh000073,可选等权,3293.1919,-16.101,-0.487,3309.2931,3309.706,3311.0314,3281.6026,8675375,13831156959
69,sh000074,消费等权,9977.3653,59.058,0.595,9918.3071,9898.6965,10011.995,9826.9259,2688028,15640789392
70,sh000075,医药等权,9116.741,183.442,2.053,8933.2987,8932.1711,9143.4359,8877.5907,4486363,19283627482
71,sh000076,金融等权,4044.9088,11.511,0.285,4033.3974,4024.6426,4062.2696,4013.5283,21348458,18845331100
72,sh000077,信息等权,4929.6833,-198.702,-3.875,5128.3849,5093.5471,5121.0935,4929.0892,17198596,69943116929
73,sh000078,电信等权,3079.0542,-54.733,-1.747,3133.7873,3114.7833,3161.3498,3078.7878,22126756,30429241425
74,sh000079,公用等权,2282.6941,13.991,0.617,2268.7027,2273.2604,2294.9044,2271.9009,11151272,6631411521
75,sh000090,上证流通,1249.3039,-4.638,-0.37,1253.9423,1251.5065,1255.5642,1246.722,316099184,417526113859
76,sh000091,沪财中小,11096.1589,-42.561,-0.382,11138.7198,11143.5465,11165.0446,11082.5789,17075718,23659641557
77,sh000092,资源50,3534.1351,-17.817,-0.502,3551.9518,3550.2563,3573.6094,3526.0536,26848562,31379651190
