,基金代码,拼音缩写,基金简称,基金类型,拼音全称
11861,014343,TKFSCZYNDKFQ,泰康丰盛纯债一年定开发起,债券型-长债,TAIKANGFENGSHENGCHUNZHAIYINIANDINGKAIFAQI
11862,014344,PHZZ500ZSZQA,鹏华中证500指数增强A,指数型-股票,PENGHUAZHONGZHENG500ZHISHUZENGQIANGA
11863,014345,PHZZ500ZSZQC,鹏华中证500指数增强C,指数型-股票,PENGHUAZHONGZHENG500ZHISHUZENGQIANGC
11864,014346,YHXFZTHHC,银华消费主题混合C,混合型-偏股,YINHUAXIAOFEIZHUTIHUNHEC
11865,014347,FGQSYXHHA,富国趋势优先混合A,混合型-偏股,FUGUOQUSHIYOUXIANHUNHEA
11866,014348,FGQSYXHHC,富国趋势优先混合C,混合型-偏股,FUGUOQUSHIYOUXIANHUNHEC
11867,014349,YHXRLHPZHHLOFC,银华鑫锐灵活配置混合(LOF)C,混合型-灵活,YINHUAXINRUILINGHUOPEIZHIHUNHELOFC
11868,014350,HSZYCZYNCYHHA,华商卓越成长一年持有混合A,混合型-偏股,HUASHANGZHUOYUECHENGZHANGYINIANCHIYOUHUNHEA
11869,014351,HSZYCZYNCYHHC,华商卓越成长一年持有混合C,混合型-偏股,HUASHANGZHUOYUECHENGZHANGYINIANCHIYOUHUNHEC
11870,014352,DFCXCZHHA,东方创新成长混合A,混合型-偏股,DONGFANGCHUANGXINCHENGZHANGHUNHEA
11871,014353,DFCXCZHHC,东方创新成长混合C,混合型-偏股,DONGFANGCHUANGXINCHENGZHANGHUNHEC
11872,014354,DFXRJGYCYQHHA,东方欣冉九个月持有期混合A,混合型-偏债,DONGFANGXINRANJIUGEYUECHIYOUQIHUNHEA
11873,014355,DFXRJGYCYQHHC,东方欣冉九个月持有期混合C,混合型-偏债,DONGFANGXINRANJIUGEYUECHIYOUQIHUNHEC
11874,014356,CXQYCZSNCYHHA,长信企业成长三年持有混合A,混合型-偏股,CHANGXINQIYECHENGZHANGSANNIANCHIYOUHUNHEA
11875,014357,CXQYCZSNCYHHC,长信企业成长三年持有混合C,混合型-偏股,CHANGXINQIYECHENGZHANGSANNIANCHIYOUHUNHEC
11876,014360,HTHTWJTLHHA,红塔红土稳健添利混合A,混合型-偏债,HONGTAHONGTUWENJIANTIANLIHUNHEA
11877,014361,HTHTWJTLHHC,红塔红土稳健添利混合C,混合型-偏债,HONGTAHONGTUWENJIANTIANLIHUNHEC
11878,014362,RYWJPZLNCYHHA,睿远稳进配置两年持有混合A,混合型-偏债,RUIYUANWENJINPEIZHILIANGNIANCHIYOUHUNHEA
11879,014363,RYWJPZLNCYHHC,睿远稳进配置两年持有混合C,混合型-偏债,RUIYUANWENJINPEIZHILIANGNIANCHIYOUHUNHEC
11880,014364,YHHGSZZGPC,银华沪港深增长股票C,股票型,YINHUAHUGANGSHENZENGZHANGGUPIAOC
11881,014365,JXYXYLSNCYHHFOF,建信优享养老三年持有混合(FOF),FOF,JIANXINYOUXIANGYANGLAOSANNIANCHIYOUHUNHEFOF
11882,014366,JXPZYLMBRQ2050WNCYQHHFQFOF,建信普泽养老目标日期2050五年持有期混合发起(FOF),FOF,JIANXINPUZEYANGLAOMUBIAORIQI2050WUNIANCHIYOUQIHUNHEFAQIFOF
11883,014367,ZSTYCZD,招商添悦纯债D,债券型-长债,ZHAOSHANGTIANYUECHUNZHAID
11884,014372,ZSHS300ZSZQLOFC,浙商沪深300指数增强(LOF)C,指数型-股票,ZHESHANGHUSHEN300ZHISHUZENGQIANGLOFC
11885,014373,ZSQJXFHHC,浙商全景消费混合C,混合型-偏股,ZHESHANGQUANJINGXIAOFEIHUNHEC
11886,014374,JSCCJFPHYLSNHHFOF,景顺长城隽丰平衡养老三年混合(FOF),FOF,JINGSHUNCHANGCHENGJUANFENGPINGHENGYANGLAOSANNIANHUNHEFOF
11887,014376,DWXNYQCGPA,东吴新能源汽车股票A,股票型,DONGWUXINNENGYUANQICHEGUPIAOA
11888,014377,DWXNYQCGPC,东吴新能源汽车股票C,股票型,DONGWUXINNENGYUANQICHEGUPIAOC
11889,014378,CJHXZRZQA,创金合信尊睿债券A,债券型-长债,CHUANGJINHEXINZUNRUIZHAIQUANA
11890,014379,CJHXZRZQC,创金合信尊睿债券C,债券型-长债,CHUANGJINHEXINZUNRUIZHAIQUANC
11891,014380,JXZGZZ2025GPC,建信中国制造2025股票C,股票型,JIANXINZHONGGUOZHIZAO2025GUPIAOC
11892,014381,CCJYLHPZHHC,长城久源灵活配置混合C,混合型-灵活,CHANGCHENGJIUYUANLINGHUOPEIZHIHUNHEC
11893,014382,BSGQGGGPC,博时国企改革股票C,股票型,BOSHIGUOQIGAIGEGUPIAOC
11894,014383,SWLXJLSGYDKZ,申万菱信集利三个月定开债,债券型-长债,SHENWANLINGXINJILISANGEYUEDINGKAIZHAI
11895,014384,GTRYSTYNDKZFQS,国投瑞银顺腾一年定开债发起式,债券型-长债,GUOTOURUIYINSHUNTENGYINIANDINGKAIZHAIFAQISHI
11896,014385,HFAYYNCYZQA,华富安业一年持有债券A,债券型-混合债,HUAFUANYEYINIANCHIYOUZHAIQUANA
11897,014386,HFAYYNCYZQC,华富安业一年持有债券C,债券型-混合债,HUAFUANYEYINIANCHIYOUZHAIQUANC
11898,014387,GDZLCZYNDKZFQS,光大尊利纯债一年定开债发起式,债券型-长债,GUANGDAZUNLICHUNZHAIYINIANDINGKAIZHAIFAQISHI
11899,014388,BHHJXCYNDKZQFQ,渤海汇金兴宸一年定开债券发起,债券型-长债,BOHAIHUIJINXINGCHENYINIANDINGKAIZHAIQUANFAQI
11900,014389,HACYDL6GYCYHHA,华安产业动力6个月持有混合A,混合型-偏股,HUAANCHANYEDONGLI6GEYUECHIYOUHUNHEA
11901,014390,HACYDL6GYCYHHC,华安产业动力6个月持有混合C,混合型-偏股,HUAANCHANYEDONGLI6GEYUECHIYOUHUNHEC
11902,014391,HATXZQ,华安添信债券,债券型-长债,HUAANTIANXINZHAIQUAN
11903,014392,JSZQCZZQ,嘉实致乾纯债债券,债券型-长债,JIASHIZHIQIANCHUNZHAIZHAIQUAN
11904,014395,ZYZQCZLHHHA,中银证券成长领航混合A,混合型-偏股,ZHONGYINZHENGQUANCHENGZHANGLINGHANGHUNHEA
11905,014396,ZYZQCZLHHHC,中银证券成长领航混合C,混合型-偏股,ZHONGYINZHENGQUANCHENGZHANGLINGHANGHUNHEC
11906,014397,ZYHY180TCYZQA,中银恒悦180天持有债券A,债券型-混合债,ZHONGYINHENGYUE180TIANCHIYOUZHAIQUANA
11907,014398,ZYHY180TCYZQC,中银恒悦180天持有债券C,债券型-混合债,ZHONGYINHENGYUE180TIANCHIYOUZHAIQUANC
11908,014399,ZYMLYNCYQZQA,中银民利一年持有期债券A,债券型-混合债,ZHONGYINMINLIYINIANCHIYOUQIZHAIQUANA
11909,014400,ZYMLYNCYQZQC,中银民利一年持有期债券C,债券型-混合债,ZHONGYINMINLIYINIANCHIYOUQIZHAIQUANC
11910,014401,FGHXQSHHA,富国核心趋势混合A,混合型-偏股,FUGUOHEXINQUSHIHUNHEA
11911,014402,FGHXQSHHC,富国核心趋势混合C,混合型-偏股,FUGUOHEXINQUSHIHUNHEC
11912,014403,ZOYJPHYLSNCYHHFQFOF,中欧预见平衡养老三年持有混合发起(FOF),FOF,ZHONGOUYUJIANPINGHENGYANGLAOSANNIANCHIYOUHUNHEFAQIFOF
11913,014404,ZODYJZSNCYHHA,中欧多元价值三年持有混合A,混合型-偏股,ZHONGOUDUOYUANJIAZHISANNIANCHIYOUHUNHEA
11914,014405,ZODYJZSNCYHHC,中欧多元价值三年持有混合C,混合型-偏股,ZHONGOUDUOYUANJIAZHISANNIANCHIYOUHUNHEC
11915,014406,FGZZXHSMZPPGCETFLJA,富国中证新华社民族品牌工程ETF联接A,指数型-股票,FUGUOZHONGZHENGXINHUASHEMINZUPINPAIGONGCHENGETFLIANJIEA
11916,014407,FGZZXHSMZPPGCETFLJC,富国中证新华社民族品牌工程ETF联接C,指数型-股票,FUGUOZHONGZHENGXINHUASHEMINZUPINPAIGONGCHENGETFLIANJIEC
11917,014408,CJHXXXCYQSYNFBHHA,创金合信兴选产业趋势一年封闭混合A,混合型-偏股,CHUANGJINHEXINXINGXUANCHANYEQUSHIYINIANFENGBIHUNHEA
11918,014409,CJHXXXCYQSYNFBHHC,创金合信兴选产业趋势一年封闭混合C,混合型-偏股,CHUANGJINHEXINXINGXUANCHANYEQUSHIYINIANFENGBIHUNHEC
11919,014410,HXSDLHLNCYHHA,华夏时代领航两年持有混合A,混合型-偏股,HUAXIASHIDAILINGHANGLIANGNIANCHIYOUHUNHEA
11920,014411,HXSDLHLNCYHHC,华夏时代领航两年持有混合C,混合型-偏股,HUAXIASHIDAILINGHANGLIANGNIANCHIYOUHUNHEC
11921,014412,ZSHXJZLHHA,招商核心竞争力混合A,混合型-偏股,ZHAOSHANGHEXINJINGZHENGLIHUNHEA
11922,014413,ZSHXJZLHHC,招商核心竞争力混合C,混合型-偏股,ZHAOSHANGHEXINJINGZHENGLIHUNHEC
11923,014414,ZSZZXMYZETFLJA,招商中证畜牧养殖ETF联接A,指数型-股票,ZHAOSHANGZHONGZHENGXUMUYANGZHIETFLIANJIEA
11924,014415,ZSZZXMYZETFLJC,招商中证畜牧养殖ETF联接C,指数型-股票,ZHAOSHANGZHONGZHENGXUMUYANGZHIETFLIANJIEC
11925,014416,TKYJJXGPFQA,泰康研究精选股票发起A,股票型,TAIKANGYANJIUJINGXUANGUPIAOFAQIA
11926,014417,TKYJJXGPFQC,泰康研究精选股票发起C,股票型,TAIKANGYANJIUJINGXUANGUPIAOFAQIC
11927,014418,XBLDCESXPZSZQA,西部利得CES芯片指数增强A,指数型-股票,XIBULIDECESXINPIANZHISHUZENGQIANGA
11928,014419,XBLDCESXPZSZQC,西部利得CES芯片指数增强C,指数型-股票,XIBULIDECESXINPIANZHISHUZENGQIANGC
11929,014420,ZOCZLHYNCYHHA,中欧成长领航一年持有混合A,混合型-偏股,ZHONGOUCHENGZHANGLINGHANGYINIANCHIYOUHUNHEA
11930,014421,ZOCZLHYNCYHHC,中欧成长领航一年持有混合C,混合型-偏股,ZHONGOUCHENGZHANGLINGHANGYINIANCHIYOUHUNHEC
11931,014422,HYYFXFSJHHC,弘毅远方消费升级混合C,混合型-偏股,HONGYIYUANFANGXIAOFEISHENGJIHUNHEC
11932,014423,HFJXYJJXHH,汇丰晋信研究精选混合,混合型-偏股,HUIFENGJINXINYANJIUJINGXUANHUNHE
11933,014424,BSHSYLBJETFFQSLJQDIIA,博时恒生医疗保健ETF发起式联接(QDII)A,QDII,BOSHIHENGSHENGYILIAOBAOJIANETFFAQISHILIANJIEQDIIA
11934,014425,BSHSYLBJETFFQSLJQDIIC,博时恒生医疗保健ETF发起式联接(QDII)C,QDII,BOSHIHENGSHENGYILIAOBAOJIANETFFAQISHILIANJIEQDIIC
11935,014426,HSZZTYCDAAAZS7TCY,惠升中证同业存单AAA指数7天持有,混合型-偏债,HUISHENGZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOU
11936,014427,FGZZTYCDAAAZS7TCY,富国中证同业存单AAA指数7天持有,混合型-偏债,FUGUOZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOU
11937,014428,ZHZZTYCDAAAZS7TCY,中航中证同业存单AAA指数7天持有,混合型-偏债,ZHONGHANGZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOU
11938,014429,HFZZTYCDAAAZS7TCY,华富中证同业存单AAA指数7天持有,混合型-偏债,HUAFUZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOU
11939,014430,NFZZTYCDAAAZS7TCY,南方中证同业存单AAA指数7天持有,混合型-偏债,NANFANGZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOU
11940,014431,HXZZXCLZTETFFQSLJA,华夏中证新材料主题ETF发起式联接A,指数型-股票,HUAXIAZHONGZHENGXINCAILIAOZHUTIETFFAQISHILIANJIEA
11941,014432,HXZZXCLZTETFFQSLJC,华夏中证新材料主题ETF发起式联接C,指数型-股票,HUAXIAZHONGZHENGXINCAILIAOZHUTIETFFAQISHILIANJIEC
11942,014433,GTZXKJ1GYGDCYHHFQA,国泰智享科技1个月滚动持有混合发起A,混合型-偏股,GUOTAIZHIXIANGKEJI1GEYUEGUNDONGCHIYOUHUNHEFAQIA
11943,014434,GTZXKJ1GYGDCYHHFQC,国泰智享科技1个月滚动持有混合发起C,混合型-偏股,GUOTAIZHIXIANGKEJI1GEYUEGUNDONGCHIYOUHUNHEFAQIC
11944,014435,ZHRXYNDKZFQA,中航瑞夏一年定开债发起A,债券型-长债,ZHONGHANGRUIXIAYINIANDINGKAIZHAIFAQIA
11945,014436,ZHRXYNDKZFQC,中航瑞夏一年定开债发起C,债券型-长债,ZHONGHANGRUIXIAYINIANDINGKAIZHAIFAQIC
11946,014437,PHZZTYCDAAAZS7TCY,鹏华中证同业存单AAA指数7天持有,混合型-偏债,PENGHUAZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOU
11947,014438,BSHSKJETFFQSLJQDIIA,博时恒生科技ETF发起式联接(QDII)A,QDII,BOSHIHENGSHENGKEJIETFFAQISHILIANJIEQDIIA
11948,014439,BSHSKJETFFQSLJQDIIC,博时恒生科技ETF发起式联接(QDII)C,QDII,BOSHIHENGSHENGKEJIETFFAQISHILIANJIEQDIIC
11949,014440,BSHXWJYNCYHHA,博时恒鑫稳健一年持有混合A,混合型-偏债,BOSHIHENGXINWENJIANYINIANCHIYOUHUNHEA
11950,014441,BSHXWJYNCYHHC,博时恒鑫稳健一年持有混合C,混合型-偏债,BOSHIHENGXINWENJIANYINIANCHIYOUHUNHEC
11951,014442,ZJZZ15NZJZZS,中加中债1-5年政金债指数,债券型-长债,ZHONGJIAZHONGZHAI15NIANZHENGJINZHAIZHISHU
11952,014443,HFJXFYZQA,汇丰晋信丰盈债券A,债券型-长债,HUIFENGJINXINFENGYINGZHAIQUANA
11953,014444,HFJXFYZQC,汇丰晋信丰盈债券C,债券型-长债,HUIFENGJINXINFENGYINGZHAIQUANC
11954,014446,PHWRZDZ,鹏华稳瑞中短债,债券型-中短债,PENGHUAWENRUIZHONGDUANZHAI
11955,014447,DCHYYNDKZFQS,大成惠源一年定开债发起式,债券型-长债,DACHENGHUIYUANYINIANDINGKAIZHAIFAQISHI
11956,014448,AXYNYNDKZFQS,安信永宁一年定开债发起式,债券型-长债,ANXINYONGNINGYINIANDINGKAIZHAIFAQISHI
11957,014449,FGRFLNDQKFHHA,富国融丰两年定期开放混合A,混合型-偏股,FUGUORONGFENGLIANGNIANDINGQIKAIFANGHUNHEA
11958,014450,FGRFLNDQKFHHC,富国融丰两年定期开放混合C,混合型-偏股,FUGUORONGFENGLIANGNIANDINGQIKAIFANGHUNHEC
11959,014451,THXXYNDKZQFQ,天弘新享一年定开债券发起,债券型-混合债,TIANHONGXINXIANGYINIANDINGKAIZHAIQUANFAQI
11960,014452,THHXYNDKZQFQ,天弘惠享一年定开债券发起,债券型-混合债,TIANHONGHUIXIANGYINIANDINGKAIZHAIQUANFAQI
11961,014453,ZYXDLGPC,中银新动力股票C,股票型,ZHONGYINXINDONGLIGUPIAOC
11962,014454,ZYSXHBHHC,中银双息回报混合C,混合型-偏股,ZHONGYINSHUANGXIHUIBAOHUNHEC
11963,014455,ZYCZYXGPC,中银成长优选股票C,股票型,ZHONGYINCHENGZHANGYOUXUANGUPIAOC
11964,014456,ZSWHZDZ60TCYZQA,招商稳恒中短债60天持有债券A,债券型-中短债,ZHAOSHANGWENHENGZHONGDUANZHAI60TIANCHIYOUZHAIQUANA
11965,014457,ZSWHZDZ60TCYZQC,招商稳恒中短债60天持有债券C,债券型-中短债,ZHAOSHANGWENHENGZHONGDUANZHAI60TIANCHIYOUZHAIQUANC
11966,014458,NF02NGKZE,南方0-2年国开债E,债券型-长债,NANFANG02NIANGUOKAIZHAIE
11967,014459,NF15NGKZE,南方1-5年国开债E,债券型-长债,NANFANG15NIANGUOKAIZHAIE
11968,014460,PAPZYXHHA,平安品质优选混合A,混合型-偏股,PINGANPINZHIYOUXUANHUNHEA
11969,014461,PAPZYXHHC,平安品质优选混合C,混合型-偏股,PINGANPINZHIYOUXUANHUNHEC
11970,014462,GDHJHHA,光大汇佳混合A,混合型-偏股,GUANGDAHUIJIAHUNHEA
11971,014463,GDHJHHC,光大汇佳混合C,混合型-偏股,GUANGDAHUIJIAHUNHEC
11972,014464,JYYDCZYNDKZQFQ,交银裕道纯债一年定开债券发起,债券型-长债,JIAOYINYUDAOCHUNZHAIYINIANDINGKAIZHAIQUANFAQI
11973,014465,CSAXZDZD,长盛安鑫中短债D,债券型-中短债,CHANGSHENGANXINZHONGDUANZHAID
11974,014466,GYHYYXHHA,工银行业优选混合A,混合型-偏股,GONGYINHANGYEYOUXUANHUNHEA
11975,014467,GYHYYXHHC,工银行业优选混合C,混合型-偏股,GONGYINHANGYEYOUXUANHUNHEC
11976,014468,PAYH90TGDCYDZA,平安元和90天滚动持有短债A,债券型-混合债,PINGANYUANHE90TIANGUNDONGCHIYOUDUANZHAIA
11977,014469,PAYH90TGDCYDZC,平安元和90天滚动持有短债C,债券型-混合债,PINGANYUANHE90TIANGUNDONGCHIYOUDUANZHAIC
11978,014470,FADJKRSHHC,富安达健康人生混合C,混合型-灵活,FUANDAJIANKANGRENSHENGHUNHEC
11979,014471,FADXXCZHHC,富安达新兴成长混合C,混合型-灵活,FUANDAXINXINGCHENGZHANGHUNHEC
11980,014472,JSCCYJCZHHA,景顺长城远见成长混合A,混合型-偏股,JINGSHUNCHANGCHENGYUANJIANCHENGZHANGHUNHEA
11981,014473,JSCCYJCZHHC,景顺长城远见成长混合C,混合型-偏股,JINGSHUNCHANGCHENGYUANJIANCHENGZHANGHUNHEC
11982,014474,ZOAYYNDKZQFQ,中欧安悦一年定开债券发起,债券型-长债,ZHONGOUANYUEYINIANDINGKAIZHAIQUANFAQI
11983,014475,HFFXYNDQKFZQXFQS,华富富鑫一年定期开放债券型发起式,债券型-长债,HUAFUFUXINYINIANDINGQIKAIFANGZHAIQUANXINGFAQISHI
11984,014476,SXZQ90TGDCYDZA,山西证券90天滚动持有短债A,债券型-中短债,SHANXIZHENGQUAN90TIANGUNDONGCHIYOUDUANZHAIA
11985,014477,SXZQ90TGDCYDZC,山西证券90天滚动持有短债C,债券型-中短债,SHANXIZHENGQUAN90TIANGUNDONGCHIYOUDUANZHAIC
11986,014478,ZJDTJJLGYCYHHA,中加低碳经济六个月持有混合A,混合型-偏股,ZHONGJIADITANJINGJILIUGEYUECHIYOUHUNHEA
11987,014479,ZJDTJJLGYCYHHC,中加低碳经济六个月持有混合C,混合型-偏股,ZHONGJIADITANJINGJILIUGEYUECHIYOUHUNHEC
11988,014480,HXDYZQA,华夏鼎优债券A,债券型-长债,HUAXIADINGYOUZHAIQUANA
11989,014481,HXDYZQC,华夏鼎优债券C,债券型-长债,HUAXIADINGYOUZHAIQUANC
11990,014482,HXRSKCXYNCYHHA,华夏融盛可持续一年持有混合A,混合型-偏股,HUAXIARONGSHENGKECHIXUYINIANCHIYOUHUNHEA
11991,014483,HXRSKCXYNCYHHC,华夏融盛可持续一年持有混合C,混合型-偏股,HUAXIARONGSHENGKECHIXUYINIANCHIYOUHUNHEC
11992,014484,HTFZZ13NYHPJAAZSFQSA,汇添富中债1-3年隐含评级AA+指数发起式A,债券型-中短债,HUITIANFUZHONGZHAI13NIANYINHANPINGJIAAZHISHUFAQISHIA
11993,014485,HTFZZ13NYHPJAAZSFQSC,汇添富中债1-3年隐含评级AA+指数发起式C,债券型-中短债,HUITIANFUZHONGZHAI13NIANYINHANPINGJIAAZHISHUFAQISHIC
11994,014486,HTFCXYNDKZQFQSA,汇添富淳享一年定开债券发起式A,债券型-混合债,HUITIANFUCHUNXIANGYINIANDINGKAIZHAIQUANFAQISHIA
11995,014487,HTFCXYNDKZQFQSC,汇添富淳享一年定开债券发起式C,债券型-混合债,HUITIANFUCHUNXIANGYINIANDINGKAIZHAIQUANFAQISHIC
11996,014488,GTRYCYSJLNCYHHA,国投瑞银产业升级两年持有混合A,混合型-偏股,GUOTOURUIYINCHANYESHENGJILIANGNIANCHIYOUHUNHEA
11997,014489,GTRYCYSJLNCYHHC,国投瑞银产业升级两年持有混合C,混合型-偏股,GUOTOURUIYINCHANYESHENGJILIANGNIANCHIYOUHUNHEC
11998,014490,ZSSYX60TGDCYZDZA,浙商双月鑫60天滚动持有中短债A,债券型-中短债,ZHESHANGSHUANGYUEXIN60TIANGUNDONGCHIYOUZHONGDUANZHAIA
11999,014491,ZSSYX60TGDCYZDZC,浙商双月鑫60天滚动持有中短债C,债券型-中短债,ZHESHANGSHUANGYUEXIN60TIANGUNDONGCHIYOUZHONGDUANZHAIC
12000,014492,ZSHJXLZQZQA,浙商汇金兴利增强债券A,债券型-混合债,ZHESHANGHUIJINXINGLIZENGQIANGZHAIQUANA
12001,014493,ZSHJXLZQZQC,浙商汇金兴利增强债券C,债券型-混合债,ZHESHANGHUIJINXINGLIZENGQIANGZHAIQUANC
12002,014494,WJXFCZE,万家鑫丰纯债E,债券型-长债,WANJIAXINFENGCHUNZHAIE
12003,014497,NAYJYXHHC,诺安研究优选混合C,混合型-偏股,NUOANYANJIUYOUXUANHUNHEC
12004,014498,NAHXHHC,诺安鸿鑫混合C,混合型-偏股,NUOANHONGXINHUNHEC
12005,014499,NFZXZZHHC,南方转型增长混合C,混合型-灵活,NANFANGZHUANXINGZENGZHANGHUNHEC
12006,014500,HCWLWJTYZQA,华宸未来稳健添盈债券A,债券型-混合债,HUACHENWEILAIWENJIANTIANYINGZHAIQUANA
12007,014501,HCWLWJTYZQC,华宸未来稳健添盈债券C,债券型-混合债,HUACHENWEILAIWENJIANTIANYINGZHAIQUANC
12008,014502,TXHYZQA,泰信汇盈债券A,债券型-长债,TAIXINHUIYINGZHAIQUANA
12009,014503,TXHYZQC,泰信汇盈债券C,债券型-长债,TAIXINHUIYINGZHAIQUANC
12010,014504,PYCKZQD,鹏扬淳开债券D,债券型-长债,PENGYANGCHUNKAIZHAIQUAND
12011,014505,ZYSYHHC,中银收益混合C,混合型-灵活,ZHONGYINSHOUYIHUNHEC
12012,014506,BSCZZXHHA,博时成长臻选混合A,混合型-偏股,BOSHICHENGZHANGZHENXUANHUNHEA
12013,014507,BSCZZXHHC,博时成长臻选混合C,混合型-偏股,BOSHICHENGZHANGZHENXUANHUNHEC
12014,014508,HTFXJZZHHA,汇添富先进制造混合A,混合型-偏股,HUITIANFUXIANJINZHIZAOHUNHEA
12015,014509,HTFXJZZHHC,汇添富先进制造混合C,混合型-偏股,HUITIANFUXIANJINZHIZAOHUNHEC
12016,014510,YXYFJXYNDKZFQ,圆信永丰聚兴一年定开债发起,债券型-长债,YUANXINYONGFENGJUXINGYINIANDINGKAIZHAIFAQI
12017,014511,YDAY30TGDCYZQFQSA,英大安盈30天滚动持有债券发起式A,债券型-中短债,YINGDAANYING30TIANGUNDONGCHIYOUZHAIQUANFAQISHIA
12018,014512,YDAY30TGDCYZQFQSC,英大安盈30天滚动持有债券发起式C,债券型-中短债,YINGDAANYING30TIANGUNDONGCHIYOUZHAIQUANFAQISHIC
12019,014513,JYYJYXHHA,金鹰远见优选混合A,混合型-偏股,JINYINGYUANJIANYOUXUANHUNHEA
12020,014514,JYYJYXHHC,金鹰远见优选混合C,混合型-偏股,JINYINGYUANJIANYOUXUANHUNHEC
12021,014517,HX30TGDDZFQSA,华夏30天滚动短债发起式A,债券型-中短债,HUAXIA30TIANGUNDONGDUANZHAIFAQISHIA
12022,014518,HX30TGDDZFQSC,华夏30天滚动短债发起式C,债券型-中短债,HUAXIA30TIANGUNDONGDUANZHAIFAQISHIC
12023,014519,BSHSGGXLETFFQSLJA,博时恒生高股息率ETF发起式联接A,指数型-股票,BOSHIHENGSHENGGAOGUXILVETFFAQISHILIANJIEA
12024,014520,BSHSGGXLETFFQSLJC,博时恒生高股息率ETF发起式联接C,指数型-股票,BOSHIHENGSHENGGAOGUXILVETFFAQISHILIANJIEC
12025,014521,NALXLHPZHHC,诺安利鑫灵活配置混合C,混合型-灵活,NUOANLIXINLINGHUOPEIZHIHUNHEC
12026,014522,HTFDTTZYNCYHHA,汇添富低碳投资一年持有混合A,混合型-偏股,HUITIANFUDITANTOUZIYINIANCHIYOUHUNHEA
12027,014523,HTFDTTZYNCYHHC,汇添富低碳投资一年持有混合C,混合型-偏股,HUITIANFUDITANTOUZIYINIANCHIYOUHUNHEC
12028,014524,HTFZZYSJYJJXYNCYHHFQA,汇添富制造业升级研究精选一年持有混合发起A,混合型-偏股,HUITIANFUZHIZAOYESHENGJIYANJIUJINGXUANYINIANCHIYOUHUNHEFAQIA
12029,014525,HTFZZYSJYJJXYNCYHHFQC,汇添富制造业升级研究精选一年持有混合发起C,混合型-偏股,HUITIANFUZHIZAOYESHENGJIYANJIUJINGXUANYINIANCHIYOUHUNHEFAQIC
12030,014526,HTFZPQLZZYNCYHHA,汇添富中盘潜力增长一年持有混合A,混合型-偏股,HUITIANFUZHONGPANQIANLIZENGZHANGYINIANCHIYOUHUNHEA
12031,014527,HTFZPQLZZYNCYHHC,汇添富中盘潜力增长一年持有混合C,混合型-偏股,HUITIANFUZHONGPANQIANLIZENGZHANGYINIANCHIYOUHUNHEC
12032,014528,HTFMSCIZGA50HLHTETFLJA,汇添富MSCI中国A50互联互通ETF联接A,指数型-股票,HUITIANFUMSCIZHONGGUOA50HULIANHUTONGETFLIANJIEA
12033,014529,HTFMSCIZGA50HLHTETFLJC,汇添富MSCI中国A50互联互通ETF联接C,指数型-股票,HUITIANFUMSCIZHONGGUOA50HULIANHUTONGETFLIANJIEC
12034,014530,HXMSCIZGA50HLHTETFFQSLJA,华夏MSCI中国A50互联互通ETF发起式联接A,指数型-股票,HUAXIAMSCIZHONGGUOA50HULIANHUTONGETFFAQISHILIANJIEA
12035,014531,HXMSCIZGA50HLHTETFFQSLJC,华夏MSCI中国A50互联互通ETF发起式联接C,指数型-股票,HUAXIAMSCIZHONGGUOA50HULIANHUTONGETFFAQISHILIANJIEC
12036,014532,YFDMSCIZGA50HLHTETFLJA,易方达MSCI中国A50互联互通ETF联接A,指数型-股票,YIFANGDAMSCIZHONGGUOA50HULIANHUTONGETFLIANJIEA
12037,014533,YFDMSCIZGA50HLHTETFLJC,易方达MSCI中国A50互联互通ETF联接C,指数型-股票,YIFANGDAMSCIZHONGGUOA50HULIANHUTONGETFLIANJIEC
12038,014534,NFMSCIZGA50HLHTETFLJA,南方MSCI中国A50互联互通ETF联接A,指数型-股票,NANFANGMSCIZHONGGUOA50HULIANHUTONGETFLIANJIEA
12039,014535,NFMSCIZGA50HLHTETFLJC,南方MSCI中国A50互联互通ETF联接C,指数型-股票,NANFANGMSCIZHONGGUOA50HULIANHUTONGETFLIANJIEC
12040,014536,NAGDZZGPC,诺安高端制造股票C,股票型,NUOANGAODUANZHIZAOGUPIAOC
12041,014537,ZYZGHHLOFC,中银中国混合(LOF)C,混合型-灵活,ZHONGYINZHONGGUOHUNHELOFC
12042,014538,CCYJJXHHC,长城研究精选混合C,混合型-偏股,CHANGCHENGYANJIUJINGXUANHUNHEC
12043,014539,HAYSJXHHA,华安优势精选混合A,混合型-偏股,HUAANYOUSHIJINGXUANHUNHEA
12044,014540,HAYSJXHHC,华安优势精选混合C,混合型-偏股,HUAANYOUSHIJINGXUANHUNHEC
12045,014541,HAXNYZTHHA,华安新能源主题混合A,混合型-偏股,HUAANXINNENGYUANZHUTIHUNHEA
12046,014542,HAXNYZTHHC,华安新能源主题混合C,混合型-偏股,HUAANXINNENGYUANZHUTIHUNHEC
