,基金代码,拼音缩写,基金简称,基金类型,拼音全称
3361,004888,CTZGXYHHA,财通资管鑫逸混合A,混合型-偏债,CAITONGZIGUANXINYIHUNHEA
3362,004889,CTZGXYHHC,财通资管鑫逸混合C,混合型-偏债,CAITONGZIGUANXINYIHUNHEC
3363,004890,ZYJKWYHH,中邮健康文娱混合,混合型-灵活,ZHONGYOUJIANKANGWENYUHUNHE
3364,004891,HRYDCZJXA,华润元大成长精选A,股票型,HUARUNYUANDACHENGZHANGJINGXUANA
3365,004892,HRYDCZJXC,华润元大成长精选C,股票型,HUARUNYUANDACHENGZHANGJINGXUANC
3366,004893,HRYDRZZQA,华润元大润泽债券A,债券型-长债,HUARUNYUANDARUNZEZHAIQUANA
3367,004894,HRYDRZZQC,华润元大润泽债券C,债券型-长债,HUARUNYUANDARUNZEZHAIQUANC
3368,004895,HSXALHHH,华商鑫安灵活混合,混合型-灵活,HUASHANGXINANLINGHUOHUNHE
3369,004896,PHXXBHBA,鹏华兴鑫宝货币A,货币型,PENGHUAXINGXINBAOHUOBIA
3370,004897,CAHYCZZQA,长安泓源纯债债券A,债券型-长债,CHANGANHONGYUANCHUNZHAIZHAIQUANA
3371,004898,CAHYCZZQC,长安泓源纯债债券C,债券型-长债,CHANGANHONGYUANCHUNZHAIZHAIQUANC
3372,004899,ZYXXDQKFZQ,中银信享定期开放债券,债券型-长债,ZHONGYINXINXIANGDINGQIKAIFANGZHAIQUAN
3373,004900,CTZGXRHHA,财通资管鑫锐混合A,混合型-偏债,CAITONGZIGUANXINRUIHUNHEA
3374,004901,CTZGXRHHC,财通资管鑫锐混合C,混合型-偏债,CAITONGZIGUANXINRUIHUNHEC
3375,004902,FGFLZQZQ,富国丰利增强债券,债券型-混合债,FUGUOFENGLIZENGQIANGZHAIQUAN
3376,004903,RBHBA,人保货币A,货币型,RENBAOHUOBIA
3377,004904,RBHBB,人保货币B,货币型,RENBAOHUOBIB
3378,004905,HTBRSWYYHHA,华泰柏瑞生物医药混合A,混合型-灵活,HUATAIBAIRUISHENGWUYIYAOHUNHEA
3379,004907,CAHFZDZZQA,长安泓沣中短债债券A,债券型-中短债,CHANGANHONGFENGZHONGDUANZHAIZHAIQUANA
3380,004908,CAHFZDZZQC,长安泓沣中短债债券C,债券型-中短债,CHANGANHONG*ZHONGDUANZHAIZHA
3381,004910,ZJYXCZZQA,中加颐享纯债债券A,债券型-长债,ZHONGJIAYIXIANGCHUNZHAIZHAIQUANA
3382,004911,ZJCZDKZQA,中加纯债定开债券A,债券型-长债,ZHONGJIACHUNZHAIDINGKAIZHAIQUANA
3383,004912,ZJCZDKZQC,中加纯债定开债券C,债券型-长债,ZHONGJIACHUNZHAIDINGKAIZHAIQUANC
3384,004913,ZYZQJRHHA,中银证券聚瑞混合A,混合型-偏债,ZHONGYINZHENGQUANJURUIHUNHEA
