,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
53,sh000058,全指价值,4022.5774,7.647,0.19,4014.9304,4006.2732,4022.5774,4002.2898,8448945,7413444989
54,sh000059,全R成长,3292.6574,-2.699,-0.082,3295.3567,3285.3207,3293.0769,3283.4244,9890354,17775728767
55,sh000060,全R价值,3743.6155,3.39,0.091,3740.2256,3731.96,3743.7763,3728.3754,16017753,16779478393
56,sh000061,沪企债30,166.6536,0.013,0.008,166.6408,166.6536,166.6536,166.6536,0,0
57,sh000062,上证沪企,1822.8017,-2.238,-0.123,1825.0398,1817.055,1823.5832,1815.9685,1064740,2341611382
58,sh000063,上证周期,3012.3911,12.071,0.402,3000.3199,2995.2061,3012.8321,2991.8069,3630736,4316753021
59,sh000064,非周期,3583.3596,-4.883,-0.136,3588.2428,3573.5361,3583.8907,3571.8026,4627294,10833265105
60,sh000065,上证龙头,3479.3347,-12.349,-0.354,3491.6836,3478.031,3480.2303,3471.6558,6149151,10209111197
61,sh000066,上证商品,2765.7738,1.746,0.063,2764.028,2761.3934,2765.7738,2756.4799,1924105,2018409889
62,sh000067,上证新兴,7835.7772,-11.814,-0.151,7847.5914,7806.4047,7838.6974,7801.3515,1284873,6307651993
63,sh000068,上证资源,2907.6252,-0.699,-0.024,2908.3243,2901.4626,2907.6252,2893.6565,3130911,2441203196
64,sh000069,消费80,5833.4851,-20.548,-0.351,5854.0331,5833.9594,5839.583,5819.3517,710174,3504236534
65,sh000070,能源等权,2911.8004,-9.94,-0.34,2921.74,2913.7189,2913.7189,2901.5261,2494807,1422657661
66,sh000071,材料等权,3522.1462,-0.342,-0.01,3522.4881,3520.3505,3522.3497,3513.9161,1130959,1620674124
67,sh000072,工业等权,3355.5475,2.292,0.068,3353.2559,3347.9975,3356.236,3345.8314,2709389,3060086036
68,sh000073,可选等权,3335.2258,-7.168,-0.214,3342.3942,3342.0846,3342.7051,3334.5505,536704,1102343510
69,sh000074,消费等权,10022.3777,14.75,0.147,10007.6278,10016.8937,10026.6757,9979.5975,182083,1021054859
70,sh000075,医药等权,9109.8482,-57.767,-0.63,9167.6157,9132.7349,9132.7349,9075.7732,355932,1862208589
71,sh000076,金融等权,4186.627,24.035,0.577,4162.5924,4156.7017,4188.3541,4153.7087,2461002,2713984750
72,sh000077,信息等权,5005.9803,-30.69,-0.609,5036.6704,4998.0107,5018.5718,4988.3524,1290939,5855275225
73,sh000078,电信等权,3035.6071,-26.771,-0.874,3062.3781,3045.2154,3045.2154,3023.3321,1273104,1771174759
74,sh000079,公用等权,2332.4276,-6.666,-0.285,2339.0939,2341.0522,2341.3019,2331.7649,971003,505763615
75,sh000090,上证流通,1272.0882,-1.028,-0.081,1273.1164,1270.4192,1272.1002,1269.442,27048680,35964047653
76,sh000091,沪财中小,11224.4148,-32.478,-0.289,11256.8929,11254.4752,11254.4752,11217.7942,1476263,2154918053
77,sh000092,资源50,3663.6497,4.869,0.133,3658.7803,3652.4949,3663.6497,3646.6341,1997583,2306355635
78,sh000093,180分层,12029.7725,-12.946,-0.107,12042.7184,12009.2928,12030.3559,12000.9669,9428400,16180257555
79,sh000094,上证上游,3109.4579,1.004,0.032,3108.4543,3102.2293,3109.4579,3094.8337,2109302,2141960036
80,sh000095,上证中游,3286.0797,-2.809,-0.085,3288.8884,3278.113,3286.1157,3275.4731,4987829,8402873264
81,sh000096,上证下游,5175.9272,-13.09,-0.252,5189.0169,5171.2682,5178.645,5158.2058,3534430,8218198842
82,sh000097,高端装备,9275.0559,-16.195,-0.174,9291.2513,9262.1376,9276.7977,9253.6456,1110861,3830057754
83,sh000098,上证F200,4717.1311,0.744,0.016,4716.3869,4702.2894,4717.1929,4697.7334,10939125,12368672962
84,sh000099,上证F300,8136.6865,-12.301,-0.151,8148.9875,8142.5409,8142.5409,8123.6502,6907198,7386653168
85,sh000100,上证F500,5352.0655,-0.521,-0.01,5352.5869,5338.3883,5352.091,5333.0861,17846323,19755326130
86,sh000101,5年信用,227.2646,0.02,0.009,227.2442,227.2646,227.2646,227.2646,0,0
87,sh000102,沪投资品,6510.5848,26.483,0.408,6484.1022,6484.2948,6510.5848,6477.1123,1580510,2514191383
88,sh000103,沪消费品,11206.5373,-60.349,-0.536,11266.8867,11226.6312,11226.6312,11175.6218,463131,2584098900
89,sh000104,380能源,1663.1529,-0.624,-0.038,1663.7772,1663.675,1663.675,1656.6629,317911,288847362
90,sh000105,380材料,4688.6643,-7.34,-0.156,4696.0045,4688.0977,4691.7754,4683.3206,600569,748065138
91,sh000106,380工业,5615.7453,-10.035,-0.178,5625.7799,5626.4298,5626.4298,5610.2892,1767096,1674866970
92,sh000107,380可选,5615.2533,-10.67,-0.19,5625.9238,5616.0406,5630.5112,5610.0147,140834,376859944
93,sh000108,380消费,15868.949,34.799,0.22,15834.1502,15815.4088,15876.4805,15808.9222,121213,333565956
94,sh000109,380医药,12684.7958,-92.541,-0.724,12777.3365,12748.052,12748.052,12658.885,199431,636450726
95,sh000110,380金融,2904.2894,12.977,0.449,2891.3126,2889.8355,2904.5199,2888.5293,664432,412102540
96,sh000111,380信息,8382.9701,-29.378,-0.349,8412.348,8377.8819,8397.2702,8359.6302,388138,1246066242
97,sh000112,380电信,5488.2313,-87.581,-1.571,5575.8123,5536.2173,5536.2173,5462.1454,390676,869858998
98,sh000113,380公用,2559.8456,-5.483,-0.214,2565.3281,2568.3942,2569.2138,2558.7027,167650,148087107
99,sh000114,持续产业,1575.8242,8.02,0.512,1567.8038,1570.0055,1576.0536,1568.3366,860484,1208197794
100,sh000115,380等权,8105.2978,-23.731,-0.292,8129.0288,8118.4653,8118.8559,8098.1314,4872794,6905083264
101,sh000116,信用100,187.0977,0.012,0.006,187.0861,187.1042,187.1042,187.0977,1900,1871500
102,sh000117,380成长,4947.8877,-21.455,-0.432,4969.3428,4955.0051,4955.0051,4940.3982,1095263,2378699946
103,sh000118,380价值,8759.06,-6.609,-0.075,8765.6692,8762.4768,8762.4768,8743.6755,2627617,2049848887
104,sh000119,380R成长,4532.3146,-16.05,-0.353,4548.3645,4537.0465,4537.0465,4528.4499,2920077,5445331518
105,sh000120,380R价值,8110.2861,-10.032,-0.124,8120.3179,8115.0073,8115.0073,8098.3266,4452431,5116480459
106,sh000121,医药主题,10806.6209,-63.394,-0.583,10870.0144,10839.6048,10839.6048,10772.367,393142,1861229999
107,sh000122,农业主题,1875.7764,2.492,0.133,1873.2845,1875.8614,1877.3987,1873.9846,246638,330960241
108,sh000123,180动态,6614.5552,-5.429,-0.082,6619.9843,6587.9275,6614.844,6584.4858,3030661,7741465683
109,sh000125,180稳定,10854.152,16.493,0.152,10837.6593,10814.4723,10854.9855,10807.3558,6397739,8438791872
110,sh000126,消费50,9846.2987,9.236,0.094,9837.0627,9840.0897,9852.0073,9828.4132,384887,1798928588
111,sh000128,380基本,7979.3418,-13.601,-0.17,7992.9428,7985.4115,7985.7018,7965.8293,4872794,6905083264
112,sh000129,180波动,13799.2848,10.217,0.074,13789.0676,13756.8342,13802.7717,13747.022,7793068,9520995594
113,sh000130,380波动,11691.5719,-5.107,-0.044,11696.6786,11699.7291,11699.7291,11673.117,2032506,1554889792
114,sh000131,上证高新,2217.2524,0.455,0.021,2216.7974,2207.6008,2223.413,2205.7754,789464,3728894894
115,sh000132,上证100,6534.3737,-24.454,-0.373,6558.8279,6537.3602,6538.2136,6521.8574,1221187,1937818036
